region,subregion,p_total,h_total,p_1person,p_2people,p_3people,p_4people,p_5people,p_0workers,p_1worker,p_2workers,p_3workers,p_kidsinhh,p_nokidsinhh,p_no_car,p_car_comp,p_car_suff,p_income_under25k,p_income_2550k,p_income_5075k,p_income_75100k,p_income_100150k,p_income_150200k,p_income_200250k,p_income_over250k,p_headu35,p_head3564,p_heado65,p_age18_24,p_age25_34,p_age35_44,p_age45_54,p_age55_64,p_age65plus,p_male,p_female,p_ft_worker,p_pt_worker,p_nonworker,p_student,p_nonstudent,p_white,p_black,p_api,p_hispanic,p_puma_7502,p_puma_7503,p_puma_7501,p_puma_7504,p_puma_7505,p_pumas_7506_to_07,p_pumas_8101_to_06,p_pumas_8508_to_14,p_pumas_8501_to_07,p_pumas_101_to_102_to_104,p_pumas_103_105_to_10,p_pumas_to_1301_to_09,p_pumas_9501_to_03,p_pumas_5500_9701_to_03,p_pumas_4101_to_02,p_pumas_16,p_pumas_04_09,p_pumas_08_11,p_pumas_10,p_pumas_12,p_pumas_13_14,p_pumas_15,p_pumas_1_2_3_5_6_7,p_pumas_17,p_pumas_18_to_22,puma_3728,puma_3729,puma_3730,puma_3731,puma_3732_33,puma_3734_44,pumas_3_1,pumas_3_2,pumas_4_1,pumas_4_2,pumas_4_3,pumas_5_1,pumas_5_2
bayarea,1,236355,134334,54466,97420,38965,27748,17756,37836,73924,85715,38880,37075,199280,103605,81534,51216,35751,26803,20009,21767,30119,26640,16731,58535,86991,108130,41234,17567,78590,46937,30342,26011,36908,120651,115704,143335,29229,63791,20684,215671,109290,7769,87703,31593,103214,133141,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
bayarea,2,222043,121589,43306,91063,43996,25631,18047,33815,55527,98160,34541,43538,178505,50408,101246,70389,21124,13563,16024,17721,29908,32255,22319,69129,67770,110167,44106,11878,68113,45657,33738,27129,35528,113201,108842,148491,17855,55697,13127,208916,123369,10589,61088,26997,0,0,122481,99562,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
bayarea,3,286545,119764,26539,70791,58198,51652,79365,34606,72422,90442,89075,84140,202405,24025,157097,105423,19630,28903,31074,32657,51276,43917,22074,57014,44881,166262,75402,23948,56984,47773,49347,46499,61994,147217,139328,154060,39007,93478,32671,253874,83197,20889,138751,43708,0,0,0,0,93749,192796,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
bayarea,4,2079991,942454,186062,582046,450804,424804,436275,250213,565314,776445,488019,801382,1278609,78565,639662,1361764,130107,182051,199407,202218,385834,297133,215513,467728,352069,1296405,431517,198657,423349,389658,371046,322250,375031,1039890,1040101,1187337,234719,657935,195155,1884836,750386,55893,807594,466118,0,0,0,0,0,0,601529,667270,811192,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
bayarea,5,2175922,1021777,227565,619876,456713,426968,444800,293236,622043,831919,428724,813068,1362854,117856,688344,1369722,181246,232587,259085,242483,421997,316232,199489,322803,377339,1329496,469087,210650,424501,405389,381538,351658,402186,1056818,1119104,1183875,261958,730089,201714,1974208,856926,226497,630101,462398,0,0,0,0,0,0,0,0,0,355889,938393,881640,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
bayarea,6,1036841,510423,127495,342624,192348,191455,182919,181010,306474,357857,191500,355209,681632,34490,228233,774118,81689,131910,144653,138349,225175,129112,66975,118978,130345,620237,286259,100360,162582,165223,173765,186414,248497,498533,538308,516339,152327,368175,78036,958805,627759,62828,118011,228243,0,0,0,0,0,0,0,0,0,0,0,0,336860,499654,200327,,,,,,,,,,,,,,,,,,,,,,,
sandag,7,153272,89294,36159,67381,25485,14066,10181,24796,47245,65937,15294,25038,128234,13661,42549,97062,18143,26322,26667,19615,32916,12292,5749,11568,45850,77054,30368,12552,45782,29441,22553,17435,25509,79685,73587,91404,19075,42793,16339,136933,83197,9615,15180,45280,,,,,,,,,,,,,,,,153272,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
sandag,8,546889,278515,64589,201664,105710,109316,65610,100888,172421,206124,67456,183043,363846,17329,111889,417671,38158,53636,58424,64311,114964,74241,51671,91484,86035,328994,131860,42101,96573,100404,95332,93599,118880,264760,282129,279990,70298,196601,41762,505127,372711,10128,104887,59163,,,,,,,,,,,,,,,,0,231117,185855,129917,0,0,0,0,0,0,,,,,,,,,,,,,
sandag,9,485312,239119,56166,162405,117669,81956,67116,75264,151978,186746,71324,149505,335807,19596,128492,337224,57430,80670,70637,64569,90031,61935,26478,33562,127382,261390,96540,60455,119257,83062,69606,68772,84160,237545,247767,251380,66434,167498,61029,424283,286747,25422,86232,86911,,,,,,,,,,,,,,,,0,0,0,0,89035,252283,143994,0,0,0,,,,,,,,,,,,,
sandag,10,1343520,586328,108698,338658,262786,259345,374033,190394,373391,468428,311307,534959,808561,51559,434982,856979,155857,236775,224192,180088,273435,152129,63280,57764,221793,832572,289155,177659,278161,229282,217698,208032,232688,664345,679175,678401,170556,494563,152270,1191250,501806,80708,173747,587259,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,614599,133913,595008,,,,,,,,,,,,,
